job_number,prop_stories, occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,units_net_complete,units_net_incomplete,latest_cofo,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,x_inactive,bbl,bin,Latitude,Longitude,geom
103549545,,,,,,,,,,,,,,,,,,,,,,,,1015717501,1081307,40.780488,-73.946119,
103553986,,,,,,,,,,,,,,,,,,,,,,,,1016350145,1052104,40.793052,-73.944741,
103571804,,,,,,,,,,,,,,,,,,,,,,,,1010780015,1027028,40.764893,-73.993646,
103576024,,,,,,,,,,,,,,,,,,,,,,,,1004740049,,40.72149,-74.00096,
103576202,,,,,,,,,,,,,,,,,,,,,,,,1016467502,1086570,40.784795,-73.948369,
103578665,,,,,,,,,,,,,,,,,,,,,,,,1016160024,1087365,40.796084,-73.946851,
103580714,,,,,,,,,,,,,,,,,,,,,,,,1007000056,1012436,40.75207,-74.003508,
103595236,,,,,,,,,,,,,,,,,,,,,,,,1000160195,1086507,40.716637,-74.014754,
103603744,,,,,,,,,,,,,,,,,,,,,,,,1014460141,1044873,40.76812,-73.95749,0101000020E6100000A7B393C151624440D00F2384477D52C0
103627407,,,,,,,,,,,,,,,,,,,,,,,,1004610002,1088893,40.72782,-73.9907,0101000020E6100000F7AFAC34295D44406C09F9A0677F52C0
103635737,,,,,,,,,,,,,,,,,,,,,,,,1001800008,1002023,40.718554,-74.009084,
103671475,,,,,,,,,,,,,,,,,,,,,,,,1019080055,1088144,40.807719,-73.948055,
103679930,,,,,,,,,,,,,,,,,,,,,,,,1021340085,1063254,40.834328,-73.946108,
103682249,21,,,,,,,,,,,,,,,,,,,,,,,1001730027,1087082,40.717162,-74.004679,
103690276,,,,,,,,,,,,,,,,,,,,,,,,1000160003,1088316,40.716231,-74.016262,
103693068,,,,,,,,,,,,,,,,,,,,,,,,1017837501,1087918,40.79856,-73.937054,
103696911,,,,,,,,,,,,,,,,,,,,,,,,1008840042,1087633,40.742393,-73.981,
103701638,,,,,,,,,,,,,,,,,,,,,,,,1021090018,1062536,40.833985,-73.939886,
103704092,,,,,,,,,,,,,,,,,,,,,,,,1011280016,1028755,40.778958,-73.975812,
103715393,,,,,,,,,,,,,,,,,,,,,,,,1006950006,1012344,40.74891,-74.00633,0101000020E6100000DDD26A48DC5F4440F5BEF1B5678052C0
103716338,,,,,,,,,,,,,,,,,,,,,,,,1004690049,1088211,40.73236,-73.9865,
103718292,,,,,,,,,,,,,,,,,,,,,,,,1016300027,1051888,40.789598,-73.947358,
103719996,,,,,,,,,,,,,,,,,,,,,,,,1020950031,1062437,40.8287,-73.949289,
103728717,,,,,,,,,,,,,,,,,,,,,,,,1017530048,1086526,40.80786,-73.93838,0101000020E61000008FDFDBF4676744401CCEFC6A0E7C52C0
103730447,,,,,,,,,,,,,,,,,,,,,,,,1004637501,1006698,40.729069,-73.989908,
103736600,,,,,,,,,,,,,,,,,,,,,,,,1003500026,1088336,40.720754,-73.984498,
103739215,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
103740052,,,,,,,,,,,,,,,,,,,,,,,,1010570024,1079049,40.762149,-73.991008,
103742531,,,,,,,,,,,,,,,,,,,,,,,,1007540012,1088965,40.750742,-73.9973,
103747992,,,,,,,,,,,,,,,,,,,,,,,,1001510031,1001658,40.715647,-74.005461,
103749455,,,,,,,,,,,,,,,,,,,,,,,,1005520033,1008881,40.731583,-74.000191,
103751129,,,,,,,,,,,,,,,,,,,,,,,,1015040127,1047097,40.784551,-73.955165,
103753699,,,,,,,,,,,,,,,,,,,,,,,,1019080017,1087932,40.807247,-73.947702,
103765221,,,,,,,,,,,,,,,,,,,,,,,,1011290012,1028806,40.779743,-73.975732,
103765926,,,,,,,,,,,,,,,,,,,,,,,,1015030045,1047028,40.78415,-73.95539,
103769254,,,,,,,,,,,,,,,,,,,,,,,,1019160154,1058136,40.812787,-73.94428,
103769799,,,,,,,,,,,,,,,,,,,,,,,,1007700064,1014051,40.743353,-73.998492,
103777058,,,,,,,,,,,,,,,,,,,,,,,,1008960009,1019502,40.73321,-73.986249,
103778333,,,,,,,,,,,,,,,,,,,,,,,,1009140057,1020136,40.745299,-73.977798,
103787118,,,,,,,,,,,,,,,,,,,,,,,,1005800015,1088206,40.727222,-74.00631,
103791997,,,,,,,,,,,,,,,,,,,,,,,,1015627501,1087459,40.774533,-73.94989,
103796518,,,,,,,,,,,,,,,,,,,,,,,,1010767501,1088435,40.763244,-73.994177,
103799702,,,,,,,,,,,,,,,,,,,,,,,,1004570001,1087207,40.724952,-73.991861,
103815043,,,,,,,,,,,,,,,,,,,,,,,,1010110038,1023756,40.765707,-73.977069,
103819744,,,,,,,,,,,,,,,,,,,,,,,,1001780016,1079284,40.719009,-74.006086,
103838929,,,,,,,,,,,,,,,,,,,,,,,,1000257501,1087954,40.705209,-74.009998,
103845582,,,,,,,,,,,,,,,,,,,,,,,,1004110053,1087887,40.72107,-73.98759,
103846974,,,,,,,,,,,,,,,,,,,,,,,,1011830018,1030955,40.779832,-73.986066,
103856720,,,,,,,,,,,,,,,,,,,,,,,,1009960014,1022613,40.756293,-73.984876,
103859521,,,,,,,,,,,,,,,,,,,,,,,,1006370051,1012002,40.735077,-74.00967,
103869164,,,,,,,,,,,,,,,,,,,,,,,,1016440041,1088163,40.7987,-73.94016,
103908032,,,,,,,,,,,,,,,,,,,,,,,,1016710030,1052642,40.785822,-73.943259,
103915453,,,,,,,,,,,,,,,,,,,,,,,,1003730014,1004382,40.721733,-73.979447,
103917406,,,,,,,,,,,,,,,,,,,,,,,,1010210010,,40.76147,-73.98549,
103921981,,,,,,,,,,,,,,,,,,,,,,,,1005730027,1009471,40.733878,-73.997106,
103927039,,,,,,,,,,,,,,,,,,,,,,,,1001930010,1002197,40.718672,-74.003936,
103935191,,,,,,,,,,,,,,,,,,,,,,,,1001060002,1086078,40.70885,-74.00114,
103935574,,,,,,,,,,,,,,,,,,,,,,,,1010207502,1087187,40.76035,-73.984713,
103938045,,,,,,,,,,,,,,,,,,,,,,,,1001790032,1002002,40.71816,-74.00744,
103940149,,,,,,,,,,,,,,,,,,,,,,,,1012400052,1087656,40.79295,-73.973744,
103940906,,,,,,,,,,,,,,,,,,,,,,,,1000310001,1000859,40.704328,-74.00923,
103950048,,,,,,,,,,,,,,,,,,,,,,,,1011147503,1087510,40.770448,-73.982126,
103952894,,,,,,,,,,,,,,,,,,,,,,,,1019580053,1059438,40.814751,-73.948715,
103955971,,,,,,,,,,,,,,,,,,,,,,,,1010427502,1087538,40.763803,-73.985828,
103957201,,,,,,,,,,,,,,,,,,,,,,,,1015577502,1050324,40.782975,-73.947598,
103970204,,,,,,,,,,,,,,,,,,,,,,,,1008850024,1018248,40.743442,-73.981555,
103971846,,,,,,,,,,,,,,,,,,,,,,,,1004040056,1005161,40.727882,-73.981693,
103977181,,,,,,,,,,,,,,,,,,,,,,,,1010907501,1087539,40.761463,-73.999816,
103979955,,,,,,,,,,,,,,,,,,,,,,,,1015210012,1087961,40.783702,-73.953155,
103983584,61,,,,,,,,,,,,,,,,,,,,,,,1008077501,1087535,40.74829,-73.990071,
103987811,,,,,,,,,,,,,,,,,,,,,,,,1011517502,1087651,40.771922,-73.990216,
103991110,,,,,,,,,,,,,,,,,,,,,,,,1011717506,1087589,40.77293,-73.989501,
103995483,,,,,,,,,,,,,,,,,,,,,,,,1008860036,1018316,40.743733,-73.980639,
104008020,,,,,,,,,,,,,,,,,,,,,,,,1020670010,1061611,40.82937,-73.9433,0101000020E61000004A24D1CB286A44404694F6065F7C52C0
104011748,,,,,,,,,,,,,,,,,,,,,,,,1017270048,1053744,40.809854,-73.94119,
104012462,,,,,,,,,,,,,,,,,,,,,,,,1004550038,1006526,40.731074,-73.983143,
104013292,,,,,,,,,,,,,,,,,,,,,,,,1018900040,1057188,40.800426,-73.971062,
104014282,,,,,,,,,,,,,,,,,,,,,,,,1019030014,1057478,40.804198,-73.9502,
104018028,,,,,,,,,,,,,,,,,,,,,,,,1006150097,1011059,40.737685,-74.00354,
104020186,,,,,,,,,,,,,,,,,,,,,,,,1010440002,1025390,40.76542,-73.987188,
104023691,,,,,,,,,,,,,,,,,,,,,,,,1002100020,1002717,40.719548,-74.002522,
104024930,,,,,,,,,,,,,,,,,,,,,,,,1015210048,1048362,40.783526,-73.95196,
